"Quarter","Country","Price_Change","Price_Index","Price_Index_Interp"
1959 Q4,"CAN",NA,0.00391552023318543,0.00284255071711564
1959 Q4,"FRA",NA,0.00564074594332087,0.0032010969722873
1959 Q4,"GBR",NA,0.00112924376922862,0.000515791883775721
1959 Q4,"GER",NA,0.0325865565669247,0.0198474269477092
1959 Q4,"ITA",NA,5.12414440955235,3.87412116192758
1959 Q4,"JAP",0.9437254,0.966089416519855,0.93262273193486
1959 Q4,"NEZ",-1.076923,0.000453960344991097,0.000253501261199044
1959 Q4,"NOR",NA,0.0582529083117584,0.0457631263938264
1959 Q4,"SA",NA,9.05872518083504,2.0281253485907
1959 Q4,"SOK",NA,0.46173548393395,0.25766983080242
1959 Q4,"US",3.71517,0.00951452134742696,0.00630626831529651
1960 Q1,"AUS",NA,15.4046997389034,11.1320754716981
